Week,Day,DSA Topic,Development Topic,DSA Progress,Dev Progress
Week 26,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 26,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 27,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 27,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 27,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 27,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 27,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 27,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 27,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 28,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 28,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 28,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 28,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 28,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 28,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 28,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 29,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 29,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 29,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 29,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 29,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 29,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 29,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 30,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 30,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 30,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 30,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 30,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 30,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 30,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 31,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 31,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 31,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 31,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 31,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 31,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 31,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 32,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 32,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 32,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 32,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 32,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 32,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 32,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 33,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 33,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 33,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 33,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 33,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 33,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 33,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 34,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 34,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 34,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 34,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 34,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 34,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 34,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 35,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 35,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 35,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 35,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 35,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 35,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 35,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 36,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 36,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 36,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 36,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 36,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 36,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 36,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 37,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 37,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 37,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 37,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 37,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 37,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 37,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 38,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 38,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 38,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 38,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 38,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 38,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 38,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 39,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 39,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 39,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 39,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 39,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 39,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 39,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 40,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 40,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 40,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 40,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 40,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 40,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 40,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 41,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 41,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 41,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 41,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 41,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 41,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 41,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 42,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 42,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 42,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 42,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 42,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 42,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 42,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 43,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 43,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 43,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 43,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 43,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 43,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 43,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 44,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 44,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 44,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 44,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 44,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 44,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 44,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 45,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 45,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 45,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 45,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 45,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 45,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 45,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 46,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 46,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 46,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 46,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 46,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 46,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 46,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 47,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 47,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 47,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 47,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 47,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 47,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 47,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 48,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 48,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 48,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 48,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 48,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 48,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 48,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 49,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 49,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 49,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 49,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 49,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 49,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 49,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 50,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 50,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 50,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 50,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 50,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 50,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 50,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 51,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 51,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 51,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 51,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 51,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 51,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 51,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
Week 52,Monday,"Python for DS: Syntax, Loops, Functions",Intro to ML: Supervised vs Unsupervised,Not Started,Not Started
Week 52,Tuesday,Numpy + Pandas Basics,Linear Regression + Eval Metrics,Not Started,Not Started
Week 52,Wednesday,Data Cleaning + Analysis,Logistic Regression + Classification,Not Started,Not Started
Week 52,Thursday,Matplotlib + Seaborn Visualizations,"SVM, KNN, Decision Trees",Not Started,Not Started
Week 52,Friday,Mini Project (EDA),Model Selection + Cross Validation,Not Started,Not Started
Week 52,Saturday,Kaggle Dataset Practice + Quant Aptitude,ML Project Building + Quant Aptitude,Not Started,Not Started
Week 52,Sunday,AI/ML Revision + Resume Updates,Polish & Push to GitHub / Kaggle,Not Started,Not Started
